day,hour,area,A,C,D,F,T,V
2020-02-01,0,A,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,B,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,C,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,D,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,E,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,F,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,G,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,H,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,I,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,0,J,3.0,3.0,5.0,5.0,4.0,3.0
2020-02-01,1,A,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,B,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,C,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,D,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,E,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,F,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,G,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,H,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,I,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,1,J,3.0,2.0,4.0,2.0,4.0,0.0
2020-02-01,2,A,2.0,3.0,3.0,0.0,4.0,1.0
2020-02-01,2,B,2.0,3.0,3.0,0.0,4.0,1.0
2020-02-01,2,C,2.0,3.0,3.0,0.0,4.0,1.0
2020-02-01,2,D,2.0,3.0,3.0,0.0,4.0,1.0
2020-02-01,2,E,2.0,3.0,3.0,0.0,4.0,1.0
2020-02-01,2,F,2.0,3.0,3.0,0.0,4.0,1.0
2020-02-01,2,G,2.0,3.0,3.0,0.0,4.0,1.0
2020-02-01,2,H,2.0,3.0,3.0,0.0,4.0,1.0
