date,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
2020-01-31,714,514,195,167,298,242,247,130,153,31,309,127,105,56,162,56,77,48,118,87,79,171,292,499,100,72,77,175,78,530,18,53,32,55,94
2020-02-01,2727,2386,854,706,1319,1402,952,596,705,223,1329,701,464,211,793,233,283,342,571,431,301,702,1376,2178,502,265,565,658,352,473,85,151,176,261,331
2020-02-02,2663,2673,851,785,1379,1569,910,568,610,196,1321,744,470,205,921,252,262,374,597,374,358,737,1390,2095,498,314,705,773,392,180,91,148,163,296,378
2020-02-03,2579,2142,820,713,1653,1543,856,603,685,177,1203,526,379,225,764,229,212,295,566,330,285,672,1212,2047,502,217,816,638,343,141,74,173,179,249,362
2020-02-04,2708,1967,847,682,1666,1509,859,606,680,192,1322,487,428,202,1094,242,257,303,533,308,464,703,1101,2085,708,254,864,676,343,155,70,143,163,291,353
2020-02-05,2622,2006,766,702,2252,1531,864,617,657,218,1304,529,423,233,1588,240,276,310,560,292,1085,674,1060,2034,691,250,801,634,319,156,66,256,165,264,338
2020-02-06,2576,1917,761,621,1676,1385,777,601,656,162,1296,441,417,208,854,219,247,266,522,305,432,718,1077,2142,645,257,712,612,329,137,57,155,175,257,353
2020-02-07,2582,1980,721,676,1464,1355,826,620,691,148,1414,634,460,203,760,189,229,242,547,295,320,704,1020,2047,597,237,725,647,334,150,61,114,167,268,358
2020-02-08,2630,2469,769,754,1533,1412,899,595,644,211,1300,713,432,178,765,227,259,299,566,392,361,653,1341,2023,545,271,546,679,412,163,66,172,165,268,408
2020-02-09,2792,2506,884,718,1490,1471,1045,636,654,227,1338,633,407,230,745,240,249,368,624,312,322,712,168111,2118,548,249,602,720,414,178,73,137,158,262,409
2020-02-10,2687,2293,789,686,1468,1410,1010,644,670,179,1168,531,463,205,693,227,277,273,586,309,303,685,1206,2123,619,215,694,656,374,157,57,163,174,260,367
2020-02-11,2784,2422,855,701,1930,1574,1042,617,672,221,1309,643,503,217,705,211,236,396,602,306,265,757,1426,2060,556,231,674,665,403,161,85,171,170,266,369
2020-02-12,2706,2190,750,666,1598,1499,815,572,678,136,1224,522,510,241,735,242,225,275,569,359,289,768,1152,2019,561,211,766,639,292,148,71,130,155,295,356
2020-02-13,2778,2174,910,631,1486,1435,916,615,758,158,1388,512,529,216,1069,219,256,294,518,320,357,751,1169,2311,573,280,792,635,328,157,84,126,218,301,396
2020-02-14,2638,2989,916,661,1364,1287,892,642,676,181,1508,659,651,199,903,222,229,255,551,361,350,741,1624,2395,559,363,785,664,353,117,84,174,134,292,356
2020-02-15,2788,2563,888,769,1503,1380,907,615,648,242,1337,700,555,259,709,266,231,286,588,513,299,723,1338,2155,523,280,557,652,367,147,83,137,161,260,357
2020-02-16,2845,2937,1033,890,1540,1599,1013,672,725,243,1511,884,562,224,782,228,321,354,683,407,304,794,1480,2247,609,284,645,739,426,136,85,187,196,307,403
2020-02-17,2762,2381,931,691,1398,1610,886,606,714,193,1268,577,657,214,833,240,255,313,578,331,321,716,1209,2058,540,288,793,654,375,143,68,216,184,292,348
2020-02-18,2736,2308,919,728,1490,1620,873,597,711,165,1400,571,572,221,797,224,258,306,539,313,316,752,1243,2227,515,250,836,655,360,142,66,131,193,280,382
2020-02-19,2670,2356,938,670,2065,1532,845,651,760,150,1912,533,874,199,814,207,244,294,509,335,411,754,1175,1938,563,352,673,695,339,153,64,138,170,310,355
2020-02-20,2780,2350,957,650,1521,1577,898,568,822,171,1858,519,1084,207,994,237,233,279,558,343,500,761,1147,2019,672,383,991,788,361,161,56,151,192,299,367
2020-02-21,2650,2297,929,657,1401,1541,879,604,730,164,1406,658,618,176,859,212,298,262,565,323,347,679,1205,2034,587,353,1049,660,338,142,66,143,195,292,342
2020-02-22,2702,2724,998,711,1460,1450,969,549,652,235,1387,645,685,199,777,222,262,293,513,493,389,727,1371,2015,488,437,493,699,396,138,66,204,146,273,372
2020-02-23,2614,2851,970,749,1336,1500,1009,560,711,234,1463,740,655,242,950,245,264,376,566,386,469,694,1943,2065,486,327,516,716,426,162,84,150,178,265,343
2020-02-24,2734,2679,893,764,1411,1706,1003,593,679,230,1706,702,809,285,879,257,262,401,585,357,417,767,1515,2094,581,365,635,768,422,172,86,124,168,298,376
2020-02-25,2694,2523,1058,726,1362,1670,1070,590,727,187,1637,639,896,263,1002,272,237,325,587,332,454,750,1260,2229,608,508,739,635,390,170,74,139,166,327,320
2020-02-26,2553,2845,964,739,1459,1720,1276,570,903,226,1857,944,1054,254,1326,243,267,318,565,581,510,694,1314,2177,614,663,1025,699,360,189,68,168,179,290,373
2020-02-27,2504,3018,1163,790,1326,1586,1234,592,1062,357,4146,685,2664,221,8159,250,265,320,521,616,1476,697,1391,2473,701,1701,1026,858,369,218,74,148,239,288,342
2020-02-28,2547,2958,1627,707,1281,1397,1306,541,1164,522,3640,682,3288,200,5677,240,266,310,520,478,1675,654,1328,2376,600,1889,825,1070,427,240,53,168,278,288,371
2020-02-29,1980,2624,1253,521,1118,1090,984,446,745,580,2314,495,2084,164,2360,186,158,268,424,509,996,538,1223,1821,449,1266,430,729,321,151,53,105,166,235,261
