date,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
2020-01-31,2211,1019,920,1330,2446,667,1609,867,910,110,24,47,31,79,36,180,19,13,46,90,64
2020-02-01,6397,2416,3010,6543,8065,2384,5975,3891,3804,439,72,123,93,351,163,434,56,76,92,255,198
2020-02-02,6120,2913,3353,6906,7593,2180,5707,4174,4065,471,77,127,107,315,174,463,45,71,116,259,217
2020-02-03,6030,3225,3032,5396,7356,2243,5261,4096,4014,428,77,132,89,322,167,437,60,76,101,231,143
2020-02-04,5748,2936,3044,5599,7408,2081,5273,3867,3703,447,94,121,87,313,171,454,56,66,118,254,150
2020-02-05,6079,2623,3103,6152,7533,2267,5439,3876,3757,426,65,102,104,296,137,450,55,49,123,246,149
2020-02-06,5846,2503,2977,5293,7180,2187,5246,3635,3558,391,58,134,103,314,142,423,57,70,157,234,137
2020-02-07,5702,2389,2901,6611,6937,2167,5334,3949,4140,417,68,122,79,307,138,480,28,60,90,285,206
2020-02-08,5573,2473,2895,6453,7049,2119,5435,3486,3642,412,81,126,97,370,173,479,53,72,124,279,194
2020-02-09,6110,2045,3124,6814,7613,2124,5449,3621,3721,467,78,155,101,403,168,452,42,70,114,284,180
2020-02-10,5627,2787,2958,5631,7163,2001,5224,3868,3709,428,79,144,94,310,165,409,62,77,126,256,146
2020-02-11,5503,2760,2878,5579,7169,2151,5422,3678,3556,452,71,152,96,329,156,467,47,64,128,273,170
2020-02-12,6148,2964,2991,5519,7289,2305,5506,3841,3703,465,70,132,97,319,161,467,50,42,155,260,145
2020-02-13,6983,3514,3032,6006,8268,2600,5885,5474,5251,507,76,127,103,346,137,539,59,73,130,268,182
2020-02-14,6665,4135,3115,6308,8179,2518,5951,5689,5596,471,61,149,96,329,168,481,47,75,101,308,156
2020-02-15,7098,3314,3080,7147,8289,2557,6004,3992,4049,437,75,111,102,415,138,536,39,75,127,291,197
2020-02-16,7370,3056,3334,6857,8608,2614,6400,3800,4076,490,91,149,123,350,195,554,46,69,119,314,215
2020-02-17,9106,3300,3159,5466,9435,2838,6365,3631,3672,517,64,127,98,304,160,478,49,70,131,326,161
2020-02-18,9133,3336,3164,5345,10833,2629,6107,3915,4002,497,82,134,95,305,189,601,52,64,117,325,137
2020-02-19,7277,3826,2964,5192,8612,2760,6195,3268,3425,516,61,124,130,314,165,494,59,64,130,294,227
2020-02-20,7888,4379,3643,5633,9513,2792,6587,4050,4101,488,67,164,137,323,168,485,58,79,141,311,139
2020-02-21,7975,4164,3605,5744,9563,3015,6599,4274,4065,543,77,162,119,322,152,527,75,52,134,287,150
2020-02-22,7746,4910,2979,6455,9366,2795,6617,3315,3433,564,82,123,119,307,168,510,49,80,127,304,190
2020-02-23,7063,3692,3091,6121,9004,2607,6230,3218,39514,544,67,127,122,307,175,496,49,56,132,276,194
2020-02-24,7752,4876,3246,5651,9406,2829,6654,3283,3420,518,71,139,111,328,157,488,41,60,128,317,160
2020-02-25,9122,6238,3479,5210,11693,3361,7785,3371,3462,585,85,137,104,293,148,561,45,60,131,317,135
2020-02-26,10608,5316,3950,4863,13843,4025,9274,3422,3625,784,75,189,164,299,148,631,75,48,153,318,122
2020-02-27,11899,6469,4443,4547,14894,5059,10891,3741,3708,790,104,218,161,271,137,677,77,55,176,324,137
2020-02-28,10102,6501,4644,4318,12666,4694,10539,3584,3628,749,98,250,144,263,145,572,62,58,138,306,140
2020-02-29,7104,2907,3324,4431,8268,3120,7229,2917,3645,416,67,181,104,259,117,405,55,47,126,246,114
