date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
2020-01-31,910,500,173,563,309,174,320,222,181,1014,64,84,60,30,70,87,112,11,36,17
2020-02-01,2848,2250,744,2318,1410,937,1127,791,857,3699,241,363,270,145,300,404,496,51,150,73
2020-02-02,2819,2376,804,2889,1536,902,1297,900,921,3607,323,399,282,164,306,304,544,55,185,77
2020-02-03,2699,2147,738,2445,1320,831,1048,828,1009,3682,308,344,258,170,242,317,454,52,161,77
2020-02-04,2684,2057,694,2476,1200,803,1085,859,996,3713,262,342,245,156,256,324,472,50,155,68
2020-02-05,2795,2071,732,2387,1176,748,1032,872,857,4044,277,348,218,156,241,274,487,49,114,61
2020-02-06,2881,2221,772,2255,1220,750,1042,831,851,3617,287,324,254,161,236,284,428,53,112,69
2020-02-07,3232,1989,714,1994,1360,791,1103,863,930,3578,252,365,253,145,256,346,451,48,137,71
2020-02-08,3212,2232,725,2162,1410,859,1174,846,980,3667,330,358,250,146,290,303,973,45,130,91
2020-02-09,2891,2343,1076,2678,1563,898,1171,927,1031,3623,400,452,253,170,281,303,575,35,143,76
2020-02-10,2810,2085,753,2268,1371,841,1109,890,821,3639,268,347,239,232,279,276,487,49,132,75
2020-02-11,2855,2315,876,2650,1434,896,1189,907,894,3750,282,402,290,178,286,305,446,63,121,68
2020-02-12,2841,2134,802,2287,1264,780,1165,835,887,3694,293,370,247,174,261,329,450,52,104,76
2020-02-13,3052,2071,929,2380,1179,794,1161,907,801,4039,248,398,267,131,232,291,495,53,112,72
2020-02-14,3009,2062,803,2255,1214,817,1138,970,797,3762,245,323,301,138,237,256,423,39,109,64
2020-02-15,3230,2361,822,2218,1396,850,1266,988,947,3828,283,358,275,155,268,276,538,55,110,79
2020-02-16,3047,2333,807,2901,1637,940,1254,943,1045,4015,342,430,330,202,341,284,567,68,119,84
2020-02-17,3153,2293,783,2399,1415,816,1086,923,959,3930,274,381,276,247,276,274,498,42,122,60
2020-02-18,3045,2224,717,4688,1313,821,1103,892,895,4043,275,347,284,161,253,287,413,47,126,66
2020-02-19,2977,2040,775,2476,1309,923,1149,873,896,3682,278,371,306,173,254,269,480,54,114,61
2020-02-20,2894,2208,710,2392,1338,899,1151,908,928,3833,268,379,220,156,270,283,557,67,121,70
2020-02-21,2869,2131,865,2422,1335,826,1174,868,910,3602,267,347,242,134,258,319,461,63,112,66
2020-02-22,3245,2358,801,2321,1393,924,1182,1010,988,3906,323,376,242,188,278,295,520,58,116,71
2020-02-23,2899,2392,850,2502,1453,1012,1292,947,921,3990,308,376,266,185,298,293,550,55,123,84
2020-02-24,5453,2351,932,2772,1445,956,1222,969,896,3829,308,418,242,168,302,323,476,56,129,72
2020-02-25,5261,2461,751,2697,1328,880,1110,1051,820,3962,291,411,285,166,277,302,434,41,120,70
2020-02-26,3597,2434,682,3269,1218,878,1139,986,873,4343,239,414,265,293,282,277,480,52,134,61
2020-02-27,3503,2494,768,3302,1280,951,1083,982,876,4560,248,358,250,216,242,291,594,41,105,60
2020-02-28,3216,2408,1205,2877,1290,1035,1084,901,938,4515,252,365,234,175,261,282,638,45,123,66
2020-02-29,2474,2057,969,2044,1203,891,904,755,689,3361,265,291,190,130,209,225,629,42,109,66
