hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,191,175,111,183,213,91,180,121,133,14,8,1,3,11,9,18,2,0,10,6,2
1.0,204,161,100,175,226,61,163,132,110,11,3,6,2,15,4,13,4,4,2,5,4
2.0,206,194,95,194,266,65,163,133,122,16,2,2,2,14,2,11,3,0,2,4,6
3.0,320,199,140,263,359,117,291,212,242,24,3,9,3,16,10,19,2,4,5,12,7
4.0,222,137,121,206,253,83,195,139,150,19,2,7,2,10,5,18,4,2,3,6,5
5.0,201,143,114,175,223,80,175,132,144,16,3,3,1,14,3,16,1,3,4,12,4
6.0,188,131,104,208,249,68,167,140,139,19,1,3,2,12,11,14,3,1,1,8,6
7.0,240,142,140,237,268,89,215,172,131,16,2,2,2,14,3,10,6,2,6,10,9
8.0,273,158,144,281,392,116,296,196,190,24,1,5,4,18,8,21,2,3,2,14,7
9.0,329,195,182,304,438,154,347,283,297,28,3,2,4,21,4,26,5,4,1,13,12
10.0,394,160,184,298,461,155,327,341,324,29,5,11,4,15,10,23,1,5,11,14,6
11.0,412,161,193,390,508,155,388,295,320,19,5,10,3,20,9,33,3,6,4,12,7
12.0,536,205,226,448,646,191,398,354,321,28,5,16,11,18,17,39,5,8,10,28,16
13.0,528,193,256,438,624,172,439,289,299,34,6,11,8,17,10,42,1,10,6,18,8
14.0,470,164,256,473,559,155,405,377,346,21,8,8,7,25,7,37,3,6,8,15,12
15.0,322,116,147,257,376,104,288,276,239,32,3,8,7,15,11,24,2,4,3,20,11
16.0,158,58,88,123,227,64,171,107,106,18,3,8,3,13,11,11,1,3,4,9,5
17.0,75,45,58,79,148,36,95,47,45,5,3,0,1,6,8,10,0,4,1,5,2
18.0,60,36,40,44,90,20,61,22,29,2,1,0,4,6,6,4,1,0,1,0,1
19.0,45,31,27,38,71,13,46,20,26,5,1,1,3,5,3,4,0,1,5,1,0
20.0,59,54,29,51,81,26,46,20,27,6,0,2,1,5,0,7,0,1,4,3,2
21.0,120,84,46,113,130,42,74,41,47,5,0,4,4,10,5,6,1,2,2,5,2
22.0,203,131,97,182,238,85,136,105,104,18,3,5,3,12,5,13,5,0,1,6,4
23.0,274,152,134,236,310,101,195,142,123,19,6,8,5,10,6,18,5,3,5,5,5
