hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,118,106,28,12,71,39,33,24,14,16,70,21,33,13,26,16,7,9,27,13,6,23,47,81,27,7,24,16,12,5,4,6,4,9,13
1.0,97,109,36,39,65,52,38,30,32,16,68,13,32,8,33,13,15,8,18,23,12,26,64,79,27,19,25,31,11,13,1,7,8,9,17
2.0,112,114,44,28,66,38,32,33,26,15,67,12,38,12,36,13,6,11,20,28,17,32,63,110,20,9,18,33,20,6,2,9,3,8,21
3.0,130,121,43,25,91,63,47,30,30,19,81,26,28,20,44,15,8,18,31,26,14,33,56,104,31,18,40,38,19,8,3,9,9,17,17
4.0,110,106,20,25,62,70,37,30,41,19,52,24,20,16,19,14,9,8,19,16,15,42,53,79,20,16,27,22,7,4,2,4,5,6,11
5.0,115,98,42,36,67,90,27,28,25,13,61,28,24,16,29,11,5,20,28,16,17,27,67,94,34,19,31,25,12,5,5,11,7,11,15
6.0,134,85,29,31,69,66,43,25,30,17,55,26,35,10,16,8,10,19,21,18,8,24,53,109,14,7,40,33,12,4,1,7,4,12,12
7.0,132,134,39,32,82,58,38,31,30,9,56,41,19,18,26,12,12,14,31,77,17,27,44,91,22,13,28,21,20,6,4,3,8,9,19
8.0,125,119,44,29,84,66,44,29,47,14,64,33,25,20,34,7,11,22,26,29,13,29,64,100,29,16,38,27,16,12,5,5,6,13,16
9.0,120,158,52,35,66,88,42,31,24,13,59,30,24,18,30,8,12,20,28,16,12,38,67,103,40,15,31,36,17,5,3,5,11,20,19
10.0,147,147,28,32,75,70,43,28,32,19,74,42,37,8,39,20,14,13,30,24,14,36,46,129,30,13,27,36,19,4,2,4,11,15,15
11.0,153,153,44,49,90,91,56,41,44,9,78,71,42,13,47,19,19,25,40,22,16,55,83,137,37,16,29,33,22,5,4,11,15,23,19
12.0,192,166,83,49,84,106,72,45,36,15,86,76,34,13,60,12,21,20,36,59,23,41,94,176,31,13,38,52,37,8,5,5,7,26,33
13.0,190,195,66,78,98,93,68,26,41,10,96,69,37,13,53,17,9,11,52,41,19,43,97,155,26,21,44,38,26,5,10,10,9,17,20
14.0,215,171,94,56,70,89,73,48,51,8,94,52,27,8,65,17,21,14,44,24,18,49,95,182,25,13,33,64,36,7,7,8,16,16,23
15.0,152,158,52,58,82,89,56,23,39,10,76,49,17,4,42,16,9,15,39,22,17,56,92,130,28,15,23,37,32,6,10,5,8,10,29
16.0,98,91,21,65,60,44,34,28,37,1,42,25,15,8,27,8,11,14,23,14,12,31,59,84,25,8,12,25,11,2,4,7,13,11,16
17.0,87,57,24,19,33,39,23,14,16,1,35,15,9,5,18,6,6,6,10,11,3,16,35,62,5,6,11,20,13,10,0,3,5,5,9
18.0,47,48,14,15,24,30,16,6,11,0,19,12,7,3,7,1,1,5,14,2,5,22,37,37,4,5,4,10,4,2,2,2,3,2,4
19.0,46,34,12,7,30,14,20,4,3,1,19,3,5,4,4,3,9,1,12,5,4,17,19,17,7,1,8,7,4,6,1,2,3,3,2
20.0,40,32,11,9,20,12,6,11,7,0,13,4,12,3,5,3,1,1,6,3,5,13,19,22,2,4,3,10,1,3,2,1,0,1,9
21.0,44,40,18,6,22,18,15,11,10,2,12,2,5,1,8,4,2,1,4,5,7,8,15,15,6,6,4,8,2,6,1,2,2,5,3
22.0,58,44,23,10,32,15,13,24,10,4,28,8,7,8,13,9,7,3,17,7,12,15,23,21,9,8,8,9,4,7,2,6,1,7,7
23.0,126,77,21,24,60,40,31,15,12,11,32,18,23,17,28,14,6,8,12,12,13,20,46,38,24,12,11,21,10,8,3,5,3,5,8
