hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,46,404,54,41,17,57,26,12,36,24,107,26,7,35,12,13,15,15,1,2,0,0
1.0,56,391,54,40,5,66,23,14,51,20,108,19,8,45,18,12,14,12,5,2,2,4
2.0,54,372,67,27,6,63,19,24,38,32,94,21,9,32,14,13,18,15,3,1,1,2
3.0,71,578,92,51,11,98,42,15,86,25,169,26,16,76,21,20,18,25,8,5,2,3
4.0,61,459,80,38,10,49,21,12,64,24,112,22,11,39,14,21,11,16,3,4,1,3
5.0,57,417,76,42,18,61,19,14,54,25,85,17,5,45,15,14,16,16,2,3,0,1
6.0,55,440,114,44,13,82,28,19,54,34,117,27,8,44,21,10,13,21,6,3,2,2
7.0,66,573,144,53,18,81,30,8,68,42,108,25,8,39,24,20,16,23,6,5,4,4
8.0,70,611,152,69,39,92,41,18,88,38,139,34,21,51,26,16,19,25,4,1,1,3
9.0,98,666,226,101,47,113,86,17,104,61,173,32,17,70,43,30,28,39,10,13,2,3
10.0,112,712,227,91,49,103,75,24,93,43,147,26,23,58,24,35,22,36,9,10,2,4
11.0,120,769,240,107,59,125,73,28,104,65,153,53,33,63,48,30,20,29,8,9,1,7
12.0,115,763,259,103,50,132,73,26,127,61,187,37,33,69,37,29,25,38,8,5,5,7
13.0,132,742,259,93,55,156,86,22,103,69,178,51,26,60,49,22,25,33,7,5,4,2
14.0,116,740,217,98,42,145,72,24,114,66,147,31,24,45,39,38,22,42,11,3,1,7
15.0,66,558,164,52,27,95,35,14,76,47,109,30,20,33,14,18,12,28,7,2,0,5
16.0,37,360,80,26,12,77,26,9,50,33,87,13,8,25,15,12,8,13,3,1,3,2
17.0,23,213,53,14,6,46,9,5,30,13,35,15,10,6,8,4,5,7,3,0,1,1
18.0,15,142,47,7,5,24,9,9,27,10,31,10,3,10,4,3,5,0,1,0,0,0
19.0,10,133,27,7,3,33,8,1,12,12,18,19,3,6,9,6,3,4,0,1,0,1
20.0,9,114,25,8,9,37,10,7,14,9,30,5,1,11,1,3,2,5,1,1,1,1
21.0,32,206,35,11,7,39,11,6,17,15,71,15,3,31,12,4,6,4,1,2,1,0
22.0,41,525,45,31,12,76,27,6,47,16,118,21,14,51,12,12,8,10,5,5,0,1
23.0,57,553,59,45,26,78,36,14,41,33,109,23,7,40,11,16,12,17,3,2,2,0
