hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,266,130,112,278,270,85,209,159,151,13,6,9,3,18,6,15,4,2,3,9,9
1.0,272,179,140,326,297,102,252,165,185,19,4,6,6,17,8,22,1,3,5,13,9
2.0,217,126,122,328,274,93,224,137,207,21,1,5,7,14,5,20,2,1,7,7,6
3.0,245,180,162,357,314,101,246,199,176,24,1,6,3,19,7,29,3,3,3,18,6
4.0,268,133,141,311,330,81,238,161,164,19,4,6,5,13,6,19,3,3,5,13,13
5.0,236,108,146,327,291,74,217,178,173,21,4,4,2,29,6,22,1,2,4,18,6
6.0,273,125,128,356,275,92,236,174,158,19,3,7,0,18,4,18,4,0,2,10,8
7.0,239,114,125,361,328,84,226,162,173,16,8,12,4,15,8,17,2,4,11,16,14
8.0,274,115,143,373,349,105,249,190,191,14,4,7,7,20,6,26,3,2,5,15,13
9.0,313,123,155,349,394,130,322,177,211,16,3,3,3,21,11,23,6,6,8,17,8
10.0,336,109,153,328,395,115,268,206,181,23,3,5,3,25,13,20,4,4,4,5,10
11.0,329,164,177,397,452,156,375,236,228,28,2,11,1,23,3,32,4,6,7,16,13
12.0,387,127,177,372,490,152,322,216,236,23,8,7,2,16,10,32,5,7,6,16,13
13.0,390,130,160,433,494,166,418,245,283,29,5,9,4,18,14,38,2,7,15,23,11
14.0,362,109,214,454,469,149,386,259,288,29,5,5,10,19,7,33,2,5,5,20,15
15.0,301,75,167,316,418,127,352,191,200,28,5,6,12,20,15,34,1,2,5,18,10
16.0,160,74,109,158,250,68,229,91,109,18,5,7,9,10,12,19,0,2,4,9,8
17.0,104,58,75,91,159,31,130,57,70,10,1,3,2,6,3,11,1,6,2,8,1
18.0,54,25,52,50,118,21,78,29,35,5,0,1,1,6,5,13,1,1,7,7,4
19.0,43,33,35,45,77,15,43,20,25,7,1,0,3,8,8,6,1,3,1,2,3
20.0,47,33,20,48,74,20,49,25,13,5,0,1,1,3,5,5,0,2,3,3,3
21.0,84,40,26,58,91,35,73,42,25,0,1,0,2,7,3,4,0,0,2,5,2
22.0,151,73,50,129,148,46,128,62,56,13,3,4,4,11,0,7,0,0,1,7,2
23.0,222,90,106,208,292,71,165,105,104,12,4,2,3,14,8,14,3,1,9,4,7
