hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,111,150,35,95,60,47,45,38,30,137,14,22,11,15,12,11,25,2,4,3
1.0,108,137,28,71,51,53,50,39,31,121,14,18,14,15,4,12,20,1,6,4
2.0,111,90,33,99,58,40,39,47,31,167,11,24,13,3,13,18,26,4,7,2
3.0,137,92,53,97,57,57,57,43,36,222,13,11,12,5,17,9,27,2,5,2
4.0,107,107,43,76,66,44,48,46,37,207,13,15,11,5,9,9,16,1,4,7
5.0,136,102,47,89,56,55,40,46,37,139,10,20,13,12,18,17,33,2,4,4
6.0,115,79,39,91,55,52,35,35,36,139,12,23,12,6,16,15,29,2,5,4
7.0,143,88,47,88,68,31,60,37,38,159,12,22,14,9,14,9,21,3,2,2
8.0,131,93,34,107,57,37,50,53,40,213,8,15,9,8,24,8,13,5,8,5
9.0,162,111,46,117,78,47,67,40,53,227,18,16,11,7,15,19,25,1,6,2
10.0,152,130,38,140,62,61,70,44,52,256,26,15,10,6,15,12,31,1,4,6
11.0,164,162,35,181,82,70,104,71,70,283,25,13,16,20,18,27,35,3,6,5
12.0,188,134,44,200,108,73,88,57,64,282,17,19,15,9,15,18,60,6,6,5
13.0,206,142,79,226,117,72,91,61,79,276,17,28,15,8,21,22,37,4,6,5
14.0,188,164,51,215,134,55,137,49,83,246,25,32,25,14,23,10,31,6,10,3
15.0,159,132,51,174,89,57,83,54,48,206,18,15,16,5,18,9,25,4,9,11
16.0,102,71,33,102,63,28,52,33,34,145,7,12,7,2,12,13,18,2,2,4
17.0,94,42,14,54,35,13,20,27,18,101,11,9,6,3,13,5,15,2,3,0
18.0,50,19,13,29,26,16,18,18,12,62,2,8,7,2,5,9,5,0,2,1
19.0,55,33,13,29,13,15,9,16,8,53,3,8,4,0,1,7,5,0,1,0
20.0,42,27,15,28,19,19,23,10,14,48,4,7,1,1,3,4,5,0,3,4
21.0,62,43,10,31,17,18,21,23,10,76,6,5,8,6,0,5,10,0,13,0
22.0,77,127,16,74,34,10,39,27,23,116,9,7,6,14,6,4,20,1,2,1
23.0,99,117,33,89,48,42,46,33,37,109,13,12,10,10,6,21,18,3,5,4
